game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,CLARY,-----,5,5,RANDOM,SETON,--YY-,5,4,CSS,BOGUT,-Y--Y,5,5,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,
2,PARTY,True,4,DALLY,-G--G,3,3,RANDOM,NASTY,-G-GG,2,2,CSS,PATTY,GG-GG,1,1,CSS,PARTY,GGGGG,0,0,CSS,,,,,,,,,,
3,TRICK,True,5,PROVO,-G---,4,4,RANDOM,ARISE,-GG--,3,3,CSS,BRINK,-GG-G,2,2,CSS,FRICK,-GGGG,1,1,CSS,TRICK,GGGGG,0,0,CSS,,,,,
4,DIRTY,True,4,ISLET,Y---Y,5,5,RANDOM,TRAIN,YY-Y-,5,5,CSS,FIRTH,-GGG-,2,2,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,3,SNELL,Y---G,4,4,RANDOM,BASIL,-YY-G,4,4,CSS,USUAL,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
6,TRULY,True,4,DRAIN,-G---,4,4,RANDOM,CREST,-G--Y,4,4,CSS,PROTO,-G-Y-,4,4,CSS,TRULY,GGGGG,0,0,CSS,,,,,,,,,,
7,SPENT,True,3,LIKES,---YY,5,5,RANDOM,SPARE,GG--Y,3,3,CSS,SPENT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
8,PAUSE,True,3,LEAPT,-YYY-,5,5,RANDOM,RAPES,-GYYY,4,4,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
9,CRAZY,True,5,QUADS,--G--,4,4,RANDOM,TRACE,-GGY-,3,3,CSS,CRAIG,GGG--,2,2,CSS,CRAMP,GGG--,2,2,CSS,CRAZY,GGGGG,0,0,CSS,,,,,
10,BASES,True,4,GIRLS,----G,4,4,RANDOM,TAPES,-G-GG,2,2,CSS,CASES,-GGGG,1,1,CSS,BASES,GGGGG,0,0,CSS,,,,,,,,,,
11,YOUNG,True,4,SEEMS,-----,5,5,RANDOM,TRINA,---G-,4,4,CSS,BONNY,-G-GY,3,3,CSS,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,
12,MEANS,True,5,YADAV,-Y---,5,5,RANDOM,SEARS,-GG-G,2,2,CSS,MEALS,GGG-G,1,1,CSS,MEATS,GGG-G,1,1,CSS,MEANS,GGGGG,0,0,CSS,,,,,
13,TRUTH,True,4,JIMBO,-----,5,5,RANDOM,SLATE,---G-,4,4,CSS,PUTTY,-YYG-,4,4,CSS,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,
14,FIRED,True,5,WHOSE,----Y,5,5,RANDOM,ARIEL,-YYG-,4,4,CSS,DINER,YG-GY,3,3,CSS,MIRED,-GGGG,1,1,CSS,FIRED,GGGGG,0,0,CSS,,,,,
15,FOLKS,True,4,PEARL,----Y,5,5,RANDOM,COILS,-G-YG,3,3,CSS,LOOKS,YG-GG,2,2,CSS,FOLKS,GGGGG,0,0,CSS,,,,,,,,,,
16,CHILE,True,3,MAYOR,-----,5,5,RANDOM,CLUES,GY-Y-,4,4,CSS,CHILE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
17,BLACK,True,3,YIELD,---Y-,5,5,RANDOM,ATLAS,Y-Y--,5,4,CSS,BLACK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
18,GRANT,True,4,LUNGS,--YY-,5,5,RANDOM,GROAN,GG-YY,3,2,CSS,GRAND,GGGG-,1,1,CSS,GRANT,GGGGG,0,0,CSS,,,,,,,,,,
19,MEALS,True,3,HOTLY,---G-,4,4,RANDOM,SALLE,YY-GY,4,4,CSS,MEALS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
20,CREAM,True,3,RISES,Y--Y-,5,5,RANDOM,TRACE,-GYYY,4,4,CSS,CREAM,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
21,AWAKE,True,6,MONDE,----G,4,4,RANDOM,SLATE,--G-G,3,3,CSS,GRAVE,--G-G,3,3,CSS,QUAKE,--GGG,2,2,CSS,PEAKE,--GGG,2,2,CSS,AWAKE,GGGGG,0,0,CSS
22,OCCUR,True,4,CURLY,YYY--,5,4,RANDOM,BRUCE,-YYY-,5,5,CSS,SCOUR,-GYGG,2,2,CSS,OCCUR,GGGGG,0,0,CSS,,,,,,,,,,
