game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,GUPTA,--YG-,4,4,RANDOM,PESTO,G--GG,2,2,VOI,PORTO,GY-GG,2,2,VOI,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,
2,PARTY,True,4,MAGNA,-G---,4,4,RANDOM,TASER,YG--Y,4,4,VOI,BARTH,-GGG-,2,2,VOI,PARTY,GGGGG,0,0,VOI,,,,,,,,,,
3,TRICK,True,4,PRANK,-G--G,3,3,RANDOM,BRICK,-GGGG,1,1,VOI,FRICK,-GGGG,1,1,VOI,TRICK,GGGGG,0,0,VOI,,,,,,,,,,
4,DIRTY,True,4,EXAMS,-----,5,5,RANDOM,TRICK,YYY--,5,5,VOI,FIRTH,-GGG-,2,2,VOI,DIRTY,GGGGG,0,0,VOI,,,,,,,,,,
5,USUAL,True,4,FECES,----Y,5,5,RANDOM,SAINT,YY---,5,5,VOI,ASUKA,YGG--,3,3,VOI,USUAL,GGGGG,0,0,VOI,,,,,,,,,,
6,TRULY,True,3,VEILS,---G-,4,4,RANDOM,DROLL,-G-G-,3,3,VOI,TRULY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
7,SPENT,True,3,PAPER,Y--Y-,5,4,RANDOM,SPITE,GG-YY,3,3,VOI,SPENT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
8,PAUSE,True,3,ENSUE,--YYG,4,4,RANDOM,SAUCE,YGG-G,2,2,VOI,PAUSE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
9,CRAZY,True,5,MOBIL,-----,5,5,RANDOM,SPARE,--GY-,4,4,VOI,CRAFT,GGG--,2,2,VOI,CRANK,GGG--,2,2,VOI,CRAZY,GGGGG,0,0,VOI,,,,,
10,BASES,True,4,SKIFF,Y----,5,5,RANDOM,MOLES,---GG,3,3,VOI,BATES,GG-GG,1,1,VOI,BASES,GGGGG,0,0,VOI,,,,,,,,,,
11,YOUNG,True,4,SPEED,-----,5,5,RANDOM,CROAT,--Y--,5,5,VOI,MOLLY,-G--Y,4,4,VOI,YOUNG,GGGGG,0,0,VOI,,,,,,,,,,
12,MEANS,True,4,CRIMP,---Y-,5,5,RANDOM,MOLLY,G----,4,4,VOI,MEETS,GG--G,2,2,VOI,MEANS,GGGGG,0,0,VOI,,,,,,,,,,
13,TRUTH,True,6,GULLS,-Y---,5,5,RANDOM,FRAUD,-G-Y-,4,4,VOI,TRUCK,GGG--,2,2,VOI,TRUMP,GGG--,2,2,VOI,TRUER,GGG--,2,2,VOI,TRUTH,GGGGG,0,0,VOI
14,FIRED,True,5,HILAL,-G---,4,4,RANDOM,PINTS,-G---,4,4,VOI,JIMBO,-G---,4,4,VOI,DIVER,YG-GY,3,3,VOI,FIRED,GGGGG,0,0,VOI,,,,,
15,FOLKS,True,4,BURKA,---G-,4,4,RANDOM,MEEKS,---GG,3,3,VOI,LOCKS,YG-GG,2,2,VOI,FOLKS,GGGGG,0,0,VOI,,,,,,,,,,
16,CHILE,True,5,ERRED,Y----,5,5,RANDOM,SPENT,--Y--,5,5,VOI,MAUVE,----G,4,4,VOI,LOCKE,Y-Y-G,4,4,VOI,CHILE,GGGGG,0,0,VOI,,,,,
17,BLACK,True,4,STOVE,-----,5,5,RANDOM,CANDY,YY---,5,5,VOI,LUCIA,Y-Y-Y,5,4,VOI,BLACK,GGGGG,0,0,VOI,,,,,,,,,,
18,GRANT,True,4,HELPS,-----,5,5,RANDOM,DOUBT,----G,4,4,VOI,GRAFT,GGG-G,1,1,VOI,GRANT,GGGGG,0,0,VOI,,,,,,,,,,
19,MEALS,True,5,BLANK,-YG--,4,4,RANDOM,LHASA,Y-GY-,4,4,VOI,PSALM,-YGGY,3,3,VOI,SMALL,YYGG-,3,3,VOI,MEALS,GGGGG,0,0,VOI,,,,,
20,CREAM,True,5,RHONE,Y---Y,5,5,RANDOM,FIRED,--YY-,5,4,VOI,ERUPT,YG---,4,4,VOI,WRECK,-GGY-,3,3,VOI,CREAM,GGGGG,0,0,VOI,,,,,
21,AWAKE,True,5,MINAS,---Y-,5,5,RANDOM,BLACK,--G-Y,4,4,VOI,KRAFT,Y-G--,4,4,VOI,QUAKE,--GGG,2,2,VOI,AWAKE,GGGGG,0,0,VOI,,,,,
22,OCCUR,True,4,EASEL,-----,5,5,RANDOM,TRUMP,-YY--,5,5,VOI,ODOUR,G--GG,2,2,VOI,OCCUR,GGGGG,0,0,VOI,,,,,,,,,,
23,YEARS,False,6,ROLLS,Y---G,4,4,RANDOM,HARES,-YYYG,4,3,VOI,MEARS,-GGGG,1,1,VOI,BEARS,-GGGG,1,1,VOI,SEARS,-GGGG,1,1,VOI,WEARS,-GGGG,1,1,VOI
24,GRADE,True,3,PURSE,--Y-G,4,4,RANDOM,RIDGE,Y-YYG,4,3,VOI,GRADE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
25,CHILL,True,4,LOOPS,Y----,5,5,RANDOM,CHILE,GGGG-,1,1,VOI,CHILD,GGGG-,1,1,VOI,CHILL,GGGGG,0,0,VOI,,,,,,,,,,
26,FLOOD,True,4,DECKS,Y----,5,5,RANDOM,ODOUR,YYG--,4,4,VOI,BLOOD,-GGGG,1,1,VOI,FLOOD,GGGGG,0,0,VOI,,,,,,,,,,
27,APPLY,True,5,SINDH,-----,5,5,RANDOM,COUPE,---Y-,5,5,VOI,PARTY,YY--G,4,4,VOI,AMPLY,G-GGG,1,1,VOI,APPLY,GGGGG,0,0,VOI,,,,,
28,SMILE,True,3,ISLAM,YYY-Y,5,5,RANDOM,SLIMY,GYGY-,3,3,VOI,SMILE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
29,KNOCK,True,5,LAPSE,-----,5,5,RANDOM,ODOUR,--G--,4,4,VOI,HMONG,--GY-,4,4,VOI,KNOWN,GGG--,2,2,VOI,KNOCK,GGGGG,0,0,VOI,,,,,
30,SLEEP,True,4,NIKOS,----Y,5,5,RANDOM,SALAM,G-Y--,4,4,VOI,SPELT,GYGY-,3,3,VOI,SLEEP,GGGGG,0,0,VOI,,,,,,,,,,
31,BRICK,True,4,STAGS,-----,5,5,RANDOM,CIDER,YY--Y,5,5,VOI,FRICK,-GGGG,1,1,VOI,BRICK,GGGGG,0,0,VOI,,,,,,,,,,
32,WROTE,True,4,BEAKS,-Y---,5,5,RANDOM,TRIED,YG-Y-,4,4,VOI,ERUPT,YG--Y,4,4,VOI,WROTE,GGGGG,0,0,VOI,,,,,,,,,,
33,RATED,True,4,CASES,-G-G-,3,3,RANDOM,MATED,-GGGG,1,1,VOI,FATED,-GGGG,1,1,VOI,RATED,GGGGG,0,0,VOI,,,,,,,,,,
34,ALERT,True,4,SHAKE,--Y-Y,5,5,RANDOM,RATED,YYYY-,5,4,VOI,TREAT,-YGYG,3,3,VOI,ALERT,GGGGG,0,0,VOI,,,,,,,,,,
35,CAGES,True,6,KNOBS,----G,4,4,RANDOM,TERMS,-Y--G,4,4,VOI,CAVES,GG-GG,1,1,VOI,CAPES,GG-GG,1,1,VOI,CASES,GG-GG,1,1,VOI,CAGES,GGGGG,0,0,VOI
36,TEDDY,True,5,GAMES,---Y-,5,5,RANDOM,WROTE,---YY,5,5,VOI,DEBUT,YG--Y,4,4,VOI,TEPID,GG--Y,3,3,VOI,TEDDY,GGGGG,0,0,VOI,,,,,
37,COLES,True,5,CONGA,GG---,3,3,RANDOM,COOKS,GG--G,2,2,VOI,COLDS,GGG-G,1,1,VOI,COLTS,GGG-G,1,1,VOI,COLES,GGGGG,0,0,VOI,,,,,
38,HWANG,True,6,BARÇA,-Y---,5,5,RANDOM,AMPLY,Y----,5,5,VOI,QUAKE,--G--,4,4,VOI,STAIN,--G-Y,4,4,VOI,CHAND,-YGG-,3,3,VOI,HWANG,GGGGG,0,0,VOI
39,WRATH,True,4,STONY,-Y---,5,5,RANDOM,ALERT,Y--YY,5,5,VOI,PARTI,-YYG-,4,4,VOI,WRATH,GGGGG,0,0,VOI,,,,,,,,,,
40,MACHO,True,4,SUTRA,----Y,5,5,RANDOM,CHAND,YYY--,5,5,VOI,MICAH,G-GYY,3,3,VOI,MACHO,GGGGG,0,0,VOI,,,,,,,,,,
41,LOPEZ,True,4,TEMPT,-Y-Y-,5,5,RANDOM,SLEEP,-Y-GY,4,4,VOI,PANEL,Y--GY,4,4,VOI,LOPEZ,GGGGG,0,0,VOI,,,,,,,,,,
42,GOODY,True,4,NADAL,--Y--,5,5,RANDOM,CRIED,----Y,5,5,VOI,MOODY,-GGGG,1,1,VOI,GOODY,GGGGG,0,0,VOI,,,,,,,,,,
43,BROTH,True,4,ADAIR,----Y,5,5,RANDOM,WROTE,-GGG-,2,2,VOI,PROTO,-GGG-,2,2,VOI,BROTH,GGGGG,0,0,VOI,,,,,,,,,,
44,VERDE,True,4,HOUND,----Y,5,5,RANDOM,TEDDY,-G-G-,3,3,VOI,MEADE,-G-GG,2,2,VOI,VERDE,GGGGG,0,0,VOI,,,,,,,,,,
45,TAMED,True,4,LORRY,-----,5,5,RANDOM,CASTS,-G-Y-,4,4,VOI,HATED,-GYGG,2,2,VOI,TAMED,GGGGG,0,0,VOI,,,,,,,,,,
46,LEAFS,True,4,MAJOR,-Y---,5,5,RANDOM,LUCIA,G---Y,4,4,VOI,LEADS,GGG-G,1,1,VOI,LEAFS,GGGGG,0,0,VOI,,,,,,,,,,
47,YACHT,True,4,PUTIN,--Y--,5,5,RANDOM,TABLE,YG---,4,4,VOI,DARTH,-G-YY,4,4,VOI,YACHT,GGGGG,0,0,VOI,,,,,,,,,,
48,MESSY,True,4,JANIS,----Y,5,5,RANDOM,SPELT,Y-Y--,5,5,VOI,DOUSE,---GY,4,4,VOI,MESSY,GGGGG,0,0,VOI,,,,,,,,,,
49,RYDER,True,3,FACED,---GY,4,4,RANDOM,RIDER,G-GGG,1,1,VOI,RYDER,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
50,MOTIF,True,5,GENRE,-----,5,5,RANDOM,COILS,-GY--,4,4,VOI,BOBBI,-G--Y,4,4,VOI,VOMIT,-GYGY,3,3,VOI,MOTIF,GGGGG,0,0,VOI,,,,,
51,RAVEN,True,3,MIDST,-----,5,5,RANDOM,CARON,-GY-G,3,3,VOI,RAVEN,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
52,REICH,True,3,GLITZ,--G--,4,4,RANDOM,BRICK,-YGG-,3,3,VOI,REICH,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
53,ICONS,True,5,PENNY,---G-,4,4,RANDOM,GRANT,---G-,4,4,VOI,SOUND,YY-G-,4,4,VOI,LIONS,-YGGG,2,2,VOI,ICONS,GGGGG,0,0,VOI,,,,,
54,SILKY,True,4,COMMS,----Y,5,5,RANDOM,SPELT,G--Y-,4,4,VOI,SUNIL,G--YY,4,4,VOI,SILKY,GGGGG,0,0,VOI,,,,,,,,,,
55,CARVE,True,4,PERTH,-YG--,4,4,RANDOM,CORES,G-GY-,3,3,VOI,CARNE,GGG-G,1,1,VOI,CARVE,GGGGG,0,0,VOI,,,,,,,,,,
56,LAGER,False,6,DUELS,--YY-,5,5,RANDOM,LOPEZ,G--G-,3,3,VOI,LANEY,GG-G-,2,2,VOI,LAKER,GG-GG,1,1,VOI,LAVER,GG-GG,1,1,VOI,LATER,GG-GG,1,1,VOI
57,JERKS,True,5,GAMUT,-----,5,5,RANDOM,ROLES,Y--YG,4,4,VOI,KREBS,YYY-G,4,4,VOI,PERKS,-GGGG,1,1,VOI,JERKS,GGGGG,0,0,VOI,,,,,
58,LOTUS,True,4,TENET,Y----,5,5,RANDOM,PARTI,---Y-,5,5,VOI,STUDY,YYY--,5,4,VOI,LOTUS,GGGGG,0,0,VOI,,,,,,,,,,
59,LACEY,True,4,OPIUM,-----,5,5,RANDOM,BARNS,-G---,4,4,VOI,HATED,-G-G-,3,3,VOI,LACEY,GGGGG,0,0,VOI,,,,,,,,,,
60,TUDOR,True,3,BREWS,-Y---,5,5,RANDOM,PARTI,--YY-,5,5,VOI,TUDOR,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
61,QUOTA,True,5,HENRI,-----,5,5,RANDOM,GOODY,--G--,4,4,VOI,STOLL,-YG--,4,4,VOI,ABOUT,Y-GYY,4,4,VOI,QUOTA,GGGGG,0,0,VOI,,,,,
62,MOURN,True,5,HATES,-----,5,5,RANDOM,GOODY,-G---,4,4,VOI,BOBBI,-G---,4,4,VOI,CORFU,-GY-Y,4,4,VOI,MOURN,GGGGG,0,0,VOI,,,,,
63,PROMO,True,4,EMMYS,-Y---,5,5,RANDOM,MOURN,YY-Y-,5,5,VOI,PRIMO,GG-GG,1,1,VOI,PROMO,GGGGG,0,0,VOI,,,,,,,,,,
64,CASTE,True,5,TYPOS,Y---Y,5,5,RANDOM,STAIN,YYY--,5,5,VOI,FAUST,-G-YY,4,3,VOI,HASTA,-GGG-,2,2,VOI,CASTE,GGGGG,0,0,VOI,,,,,
65,CAPRI,True,4,NORMS,--Y--,5,5,RANDOM,RIVET,YY---,5,5,VOI,BRICK,-YYY-,5,5,VOI,CAPRI,GGGGG,0,0,VOI,,,,,,,,,,
66,ALIAS,True,4,VINOD,-Y---,5,5,RANDOM,SMILE,Y-GY-,4,4,VOI,ALISA,GGGYY,2,2,VOI,ALIAS,GGGGG,0,0,VOI,,,,,,,,,,
67,PADDY,True,4,SKUNK,-----,5,5,RANDOM,LITER,-----,5,5,VOI,GOODY,---GG,3,3,VOI,PADDY,GGGGG,0,0,VOI,,,,,,,,,,
68,BLOBS,True,6,HEDGE,-----,5,5,RANDOM,SORTA,YY---,5,5,VOI,ICONS,--G-G,3,3,VOI,FLOPS,-GG-G,2,2,VOI,BLOWS,GGG-G,1,1,VOI,BLOBS,GGGGG,0,0,VOI
69,DILLY,True,5,BLIGH,-YY--,5,5,RANDOM,LIONS,YG---,4,4,VOI,PIXEL,-G--Y,4,4,VOI,KILDA,-GGY-,3,3,VOI,DILLY,GGGGG,0,0,VOI,,,,,
70,GUTSY,True,3,POGBA,--Y--,5,5,RANDOM,SLING,Y---Y,5,5,VOI,GUTSY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
